Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s
mysql,execute_query,10390,0,16,15.33166506,10,81,24,58.619996,0
,Aggregated,10390,0,16,15.33166506,10,81,24,58.619996,0
