Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s
mysql,execute_query_mine,10390,0,16,16.4040619,10,144,24,56.0643588,0
,Aggregated,10390,0,16,16.4040619,10,144,24,56.0643588,0
